Site_Name,Lat,Long,Paper_ID,Baseline/Timesieries,offset_1215,offset_climate,offset_SSP245,offset_SSP585,cumul_pos,cumul_all,cumul_pos_env2,cumul_all_env2,cumul_pos_env9,cumul_all_env9,Region
Sweetwater,32.89928,-116.5849,1,Timeseries,0.02030644193291664,0.1940421462059021,0.04294310137629509,0.05943185091018677,9.400000000000002,13.750000000000004,1.6500000000000004,1.6500000000000004,0.577500000000032,0.577500000000032,South
West Fork Mojave River,34.28425,-117.37539,2,Timeseries,0.0278985109180212,0.2620219588279724,0.04528858512639999,0.06341265887022018,0,0.1499999999999999,0.5999999999999996,0.5999999999999996,0,0.25,South
NFMF Tule,36.20081,-118.65092,3,Timeseries,0.0375954732298851,0.355831116437912,0.05593102425336838,0.0751883015036583,5.599999999999997,5.599999999999997,7.85,7.85,1.3500000000000005,1.3500000000000005,Center
Redwoods,36.69096,-118.90961,4,Timeseries,0.03693781793117523,0.34892940521240234,0.05701874941587448,0.0764164999127388,3.9999999999999987,4.249999999999998,3.950000000000001,5.600000000000001,1.1999999999999997,1.1999999999999997,Center
Wawona,37.539,-119.654,5,Timeseries,0.0277220644056797,0.2582338750362396,0.05302357673645019,0.07258439809083939,0,9.950000000000003,0.04999999999999982,0.09999999999999964,0,0.4500000000000002,Center
Oregon Creek,39.39442,-121.08302,6,Timeseries,0.02686025202274322,0.2603645622730255,0.05761771276593208,0.07574186474084854,0,3.049999999999999,0,0.549999999999998,0,0.9500000000000002,Center
Little Jameson Creek,39.74298,-120.70401,7,Timeseries,0.03009412065148353,0.2852976322174072,0.05855825915932655,0.07699413597583771,0,3.0999999999999983,0,0.7999999999999972,0,0.2999999999999998,Center
Deep Creek,41.66546,-123.11341,8,Timeseries,0.02784976176917553,0.2529643177986145,0.05110134929418564,0.06921593099832535,0,9.950000000000003,0,2.3800000000000416,1.0999999999999996,1.0999999999999996,North
O'Neil Creek,41.80979,-123.11887,9,Timeseries,0.02868197672069072,0.25998541712760925,0.05248944833874702,0.06917297095060349,0.44999999999999973,0.44999999999999973,0.9499999999999984,0.9499999999999984,0,0,North
Deer Creek,42.27411,-123.63617,10,Timeseries,0.02319835685193538,0.2182081639766693,0.05155042186379433,0.0679815262556076,2.1500000000000004,15.6,0,2.6999999999999993,0,1.7499999999999996,North
Rock Creek,43.37876,-122.95207,11,Timeseries,0.0215041134506464,0.20342406630516052,0.05529581010341644,0.0739131048321724,8.049999999999997,8.049999999999997,1.3999999999999981,1.3999999999999981,2.049999999999999,2.049999999999999,North
Mill Creek,34.07808,-116.87558,12,Timeseries,0.02818648889660835,0.2755475640296936,0.04582562670111656,0.06435947120189667,1.25,21.500000000000004,0,16.000000000000004,1.25,1.6,South
