S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up
-2.45,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1
-2.35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.6499999999999915,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
-2.25,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-2.1500000000000004,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3,1,1.7000000000000028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-2.0500000000000003,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2,1,2,1,1.4500000000000028,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
-1.9500000000000002,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
-1.85,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.9000000000000057
-1.75,1,2,0,1,0,0,0,1,1,0,0,0,1,2,1,3,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1
-1.6500000000000001,0,6,2,0,1,1,0,3,0,1,0,0,1,2,1,3,1,2,1,2,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,2
-1.5500000000000003,0,0,0,0,2,0,0,1,1,0,0,0,1,2,1,3,1,3,1,3,1,2,1,1.7999999999999972,1,1,1,2,1,1.4500000000000028,1,2,1,1,1,2
-1.4500000000000002,0,3,1,3,1,2,0,0,0,0,2,0,1,3,1,4,1,2,1,4,1,5,1,2,1,1,1,2,1,1.2000000000000028,1,2,1,1,1,2
-1.35,0,2,0,6,0,2,0,2,0,1,1,1,1,3,1,3,1,2,1,6,1,3,1,4,1,2,1,4,1,2,1,3,1,1,1,3
-1.25,1,4,0,5,0,2,0,0,0,0,0,0,1,4,1,5,1,4,1,9,1,3,1,10,1,2,1,3,1,2,1,3,1,1,1,2
-1.1500000000000001,2,3,0,4,2,2,2,3,1,0,0,2,1,5,1,6,1,4,1,7,1,5,1,4,1,2,1,7,1,2,1,3,1,2,1,3
-1.05,3,3,1,10,12,0,0,6,2,3,0,1,1,7,1,5,1,5,1,9,3,19,1,3,1,3,1,4,1,2,1,4,1,2,1,4
-0.9500000000000002,7,8,1,19,5,2,4,6,0,3,0,0,1,11,1,7,1,5,1,12,1,5,1,4,1,4,1,9,1,2.9499999999999886,1,12,1,2,1,5
-0.8500000000000001,7,11,3,17,5,3,5,4,1,4,1,1,1,13,1,10,1,9,3,17,1,9,1,4,1,7,1,6,1,3,1,7,1,2,1,5
-0.75,14,14,20,21,8,8,3,10,5,8,1,4,6,22,6,24,8,28,5,21.049999999999955,1,10,1,9,1,7,1,9,1,4,1,8,1,3,1,7
-0.6500000000000001,7,15,12,31,28,10,8,15,4,11,2,18,11,33,4,20,3,18,10,30,5,21,1,12,1,14,2,17.049999999999955,1,6,1,11,1,5,2,16
-0.55,33,28,10,49,35,23,17,27,3,69,12,5,54,90,7,28,6,24,15,40,12,34,2,16,4,18,2,19,1,10,40,77,1,12,2,13
-0.4500000000000002,98,45,34,43,49,79,40,46,20,30,31,31,61,104,12,39,16,41,20,47,10,33,41,72,7,31,13,39.049999999999955,2,22,11,33,8,28,5,22
-0.3500000000000001,52,67,47,42,86,72,54,46,27,56,55,46,53,94,25,57,38,73,23,55,26,57,24,50,27,56,21,51,20,44,23,50,48,90,23,54
-0.25,80,111,99,108,152,103,113,97,86,111,99,50,88,137,73,114,65,116,164,208,66,119,53,93,68,112,45,83,59,101,56,97,136,192,35,70
-0.1499999999999999,100,119,142,76,178,173,165,118,180,216,172,98,83,139,76,119,101,153,56,95,113,164,106,166,101,154,76,131,150,212,136,194,225,291,71,115
-0.04999999999999982,121,133,187,102,235,229,197,130,324,252,230,99,107,158,98,151,128,199,50,93,158,223,157,216,128,192,95,145,248,331,198,274,215,291,90,133
0.04999999999999982,112,138,203,93,205,197,190,141,291,248,317,123,95,152,104,165,142,214,59,97,185,249.04999999999995,174,240,139,208,102,149,289,358,220,286,211,293,90,134
