Site,Median,Median_Percentile,Median_p-value,Mean,Mean_Percentile,Mean_p-value
1,0.07144336485640299,1,0,0.07054085015821356,1,0
2,-0.03480332440881823,0,1,-0.05105742344846225,0,1
3,0.04297668926853787,0.402,0.598,0.05877793004418342,0.88,0.12
4,0.15785047435448774,0.137,0.863,0.12253264548822786,0,1
5,-0.03486776370212151,0,1,-0.049577644742410235,0,1
6,-0.03840181642245704,0,1,-0.043758433182860663,0,1
7,-0.03820081376922649,0,1,-0.0443333837817437,0,1
8,-0.01986329135920859,0,1,-0.023605278519636154,0,1
9,0.01725852469132375,0.234,0.766,0.02539249294876754,0.313,0.687
10,-0.01387097743501675,0,1,-0.017405665040453235,0,1
11,0.05033977281944857,1,0,0.040064984113240804,1,0
12,0.01688188001487095,0.828,0.17200000000000004,0.00898253542764268,0.358,0.642
